All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
N-ZAP '85,1,1426,6.19,6.63,-0.44,1,0,,1) N-ZAP '85 (6.19) -0.44
Tentatek Splattershot,2,1352,5.87,5.87,0.00,2,0,,2) Tentatek Splattershot (5.87) 0.00
Enperry Splat Dualies,3,1112,4.83,5.13,-0.31,3,0,,3) Enperry Splat Dualies (4.83) -0.31
Splat Roller,4,1107,4.81,4.64,0.17,4,0,,4) Splat Roller (4.81) 0.17
Splattershot,5,818,3.55,3.72,-0.17,5,0,,5) Splattershot (3.55) -0.17
Blaster,6,715,3.10,3.18,-0.08,6,0,,6) Blaster (3.10) -0.08
Dapple Dualies Nouveau,7,692,3.01,3.00,0.01,8,1,,7) Dapple Dualies Nouveau (3.01) 0.01
Custom Blaster,8,670,2.91,3.09,-0.18,7,-1,,8) Custom Blaster (2.91) -0.18
Forge Splattershot Pro,9,626,2.72,2.84,-0.12,9,0,,9) Forge Splattershot Pro (2.72) -0.12
Splat Charger,10,588,2.55,2.66,-0.11,10,0,,10) Splat Charger (2.55) -0.11
Dualie Squelchers,11,534,2.32,1.93,0.39,12,1,,
Splattershot Jr.,12,485,2.11,1.88,0.22,14,2,,
Custom Jet Squelcher,13,464,2.01,1.71,0.31,16,3,,
Heavy Splatling,14,455,1.98,2.20,-0.22,11,-3,,
Gold Dynamo Roller,15,408,1.77,1.92,-0.15,13,-2,,
Clash Blaster Neo,16,387,1.68,1.51,0.17,21,5,,
Neo Splash-o-matic,17,362,1.57,1.76,-0.19,15,-2,,
Splatterscope,18,357,1.55,1.53,0.02,20,2,,
Dapple Dualies,19,356,1.55,1.58,-0.03,18,-1,,
Slosher Deco,20,349,1.52,1.53,-0.02,19,-1,,
Rapid Blaster Deco,21,349,1.52,1.59,-0.07,17,-4,,
Dark Tetra Dualies,22,349,1.52,1.34,0.17,25,3,,
Carbon Roller,23,345,1.50,1.48,0.02,22,-1,,
Octobrush,24,321,1.39,1.34,0.05,26,2,,
N-ZAP '89,25,310,1.35,1.39,-0.04,24,-1,,
Heavy Splatling Deco,26,310,1.35,1.44,-0.09,23,-3,,
Range Blaster,27,299,1.30,1.33,-0.03,27,0,,
Rapid Blaster Pro,28,284,1.23,1.22,0.01,29,1,,
Splat Brella,29,275,1.19,1.27,-0.07,28,-1,,
Splat Dualies,30,274,1.19,1.14,0.05,31,1,,
Sploosh-o-matic,31,273,1.19,1.09,0.10,34,3,,
Inkbrush,32,268,1.16,0.96,0.20,37,5,,
Clash Blaster,33,257,1.12,0.98,0.13,35,2,,
Tri-Slosher,34,252,1.09,1.10,0.00,33,-1,,
Dynamo Roller,35,246,1.07,1.20,-0.14,30,-5,,
Splattershot Pro,36,239,1.04,1.14,-0.10,32,-4,,
Tenta Brella,37,223,0.97,0.92,0.05,38,1,,
Rapid Blaster,38,223,0.97,0.97,0.00,36,-2,,
Tri-Slosher Nouveau,39,204,0.89,0.80,0.08,42,3,,
.52 Gal Deco,40,193,0.84,0.72,0.12,46,6,,
H-3 Nozzlenose D,41,185,0.80,0.77,0.03,44,3,,
Octobrush Nouveau,42,178,0.77,0.81,-0.04,41,-1,,
Luna Blaster,43,175,0.76,0.81,-0.05,39,-4,,
Slosher,44,164,0.71,0.54,0.17,52,8,,
Hydra Splatling,45,162,0.70,0.74,-0.04,45,0,,
Sloshing Machine Neo,46,162,0.70,0.81,-0.11,40,-6,,
Sloshing Machine,47,157,0.68,0.79,-0.11,43,-4,,
.52 Gal,48,145,0.63,0.67,-0.04,48,0,,
Glooga Dualies Deco,49,144,0.63,0.51,0.12,54,5,,
Foil Squeezer,50,133,0.58,0.57,0.00,50,0,,
Krak-On Splat Roller,51,131,0.57,0.54,0.03,51,0,,
Firefin Splat Charger,52,127,0.55,0.60,-0.05,49,-3,,
Jet Squelcher,53,123,0.53,0.44,0.10,58,5,,
Custom Splattershot Jr.,54,112,0.49,0.43,0.06,59,5,,
Mini Splatling,55,110,0.48,0.44,0.04,57,2,,
Custom Range Blaster,56,110,0.48,0.41,0.07,61,5,,
Firefin Splatterscope,57,109,0.47,0.38,0.10,63,6,,
Inkbrush Nouveau,58,103,0.45,0.53,-0.08,53,-5,,
E-liter 4K Scope,59,101,0.44,0.68,-0.24,47,-12,,
Zink Mini Splatling,60,101,0.44,0.49,-0.05,55,-5,,
