All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,3148,10.42,10.43,-0.01,1,0
Splattershot,2,2474,8.19,8.18,0.01,2,0
Blaster,3,2041,6.76,6.63,0.13,3,0
Splat Roller,4,2003,6.63,6.56,0.07,4,0
Forge Splattershot Pro,5,1068,3.54,3.59,-0.05,5,0
Splat Charger,6,980,3.25,3.45,-0.2,6,0
Enperry Splat Dualies,7,978,3.24,2.84,0.4,7,0
Tentatek Splattershot,8,794,2.63,2.24,0.39,11,3
Dapple Dualies Nouveau,9,720,2.38,2.39,-0.01,9,0
Heavy Splatling,10,707,2.34,1.92,0.42,13,3
Splattershot Jr.,11,651,2.16,2.43,-0.27,8,-3
Tri-Slosher,12,649,2.15,2.04,0.11,12,0
Sloshing Machine,13,635,2.1,1.91,0.19,14,1
Slosher Deco,14,612,2.03,1.43,0.6,23,9
Range Blaster,15,596,1.97,1.91,0.06,15,0
Splat Brella,16,583,1.93,1.47,0.46,21,5
Sploosh-o-matic,17,581,1.92,2.37,-0.45,10,-7
Rapid Blaster,18,542,1.79,1.89,-0.1,16,-2
.52 Gal Deco,19,503,1.67,1.74,-0.07,18,-1
Dualie Squelchers,20,452,1.5,1.49,0.01,20,0
Splatterscope,21,440,1.46,1.45,0.01,22,1
N-ZAP '89,22,424,1.4,1.73,-0.33,19,-3
Dapple Dualies,23,398,1.32,1.39,-0.07,24,1
Octobrush,24,379,1.25,1.23,0.02,26,2
Carbon Roller,25,372,1.23,1.35,-0.12,25,0
Heavy Splatling Deco,26,359,1.19,1.01,0.18,32,6
Luna Blaster,27,345,1.14,1.09,0.05,30,3
Splattershot Pro,28,336,1.11,1.19,-0.08,28,0
Inkbrush,29,335,1.11,0.98,0.13,33,4
Splat Dualies,30,329,1.09,1.22,-0.13,27,-3
Gold Dynamo Roller,31,315,1.04,1.18,-0.14,29,-2
Custom Jet Squelcher,32,286,0.95,0.75,0.2,36,4
.96 Gal Deco,33,266,0.88,1.87,-0.99,17,-16
Octobrush Nouveau,34,262,0.87,1.06,-0.19,31,-3
Dynamo Roller,35,255,0.84,0.78,0.06,35,0
Clash Blaster,36,245,0.81,0.92,-0.11,34,-2
Mini Splatling,37,228,0.75,0.75,0,37,0
.52 Gal,38,205,0.68,0.64,0.04,40,2
Rapid Blaster Deco,39,197,0.65,0.72,-0.07,38,-1
Slosher,40,192,0.64,0.63,0.01,41,1
Splash-o-matic,41,191,0.63,0.53,0.1,44,3
Classic Squiffer,42,190,0.63,0.61,0.02,42,0
Custom Blaster,43,190,0.63,0.56,0.07,43,0
Firefin Splat Charger,44,184,0.61,0.66,-0.05,39,-5
Squeezer,45,159,0.53,0.52,0.01,46,1
E-liter 4K Scope,46,147,0.49,0.49,0,48,2
Rapid Blaster Pro,47,144,0.48,0.5,-0.02,47,0
Custom Splattershot Jr.,48,134,0.44,0.52,-0.08,45,-3
Firefin Splatterscope,49,132,0.44,0.41,0.03,54,5
Krak-On Splat Roller,50,128,0.42,0.45,-0.03,51,1
Tenta Brella,51,127,0.42,0.43,-0.01,52,1
Jet Squelcher,52,123,0.41,0.48,-0.07,49,-3
Bamboozler 14 Mk I,53,117,0.39,0.47,-0.08,50,-3
Custom Goo Tuber,54,115,0.38,0.11,0.27,70,16
Inkbrush Nouveau,55,112,0.37,0.36,0.01,58,3
Aerospray MG,56,107,0.35,0.41,-0.06,53,-3
.96 Gal,57,98,0.32,0.38,-0.06,57,0
Hydra Splatling,58,94,0.31,0.39,-0.08,56,-2
L-3 Nozzlenose D,59,86,0.28,0.23,0.05,64,5
Aerospray RG,60,84,0.28,0.27,0.01,60,0
E-liter 4K,61,79,0.26,0.29,-0.03,59,-2
Undercover Brella,62,79,0.26,0.23,0.03,63,1
L-3 Nozzlenose,63,78,0.26,0.2,0.06,66,3
Glooga Dualies,64,74,0.25,0.2,0.05,67,3
Flingza Roller,65,72,0.24,0.24,0,62,-3
H-3 Nozzlenose,66,71,0.24,0.25,-0.01,61,-5
Goo Tuber,67,64,0.21,0.41,-0.2,55,-12
Custom E-liter 4K Scope,68,54,0.18,0.19,-0.01,68,0
Foil Flingza Roller,69,52,0.17,0.21,-0.04,65,-4
Custom E-liter 4K,70,30,0.1,0.12,-0.02,69,-1
