All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,3307,11.05,12.03,-0.98,1,0,,* 1) N-ZAP '85 (11.05) -0.979999999999999,N-ZAP '85,807,10.5,1,0,,N-ZAP '85,837,10.53,1,0,,N-ZAP '85,766,11.47,1,0,,N-ZAP '85,897,11.77,1,0,,Splashdown,7378,24.65,,Suction Bomb,5583,18.65,,N-ZAP '85,1991,11.78,1,0
Splat Roller,2,2153,7.19,7.49,-0.3,3,1,,* 2) Splat Roller (7.19) -0.3,Splat Roller,635,8.26,2,0,,Splat Roller,614,7.72,2,0,,Blaster,454,6.8,4,2,,Blaster,638,8.37,4,2,,Ink Armor,5477,18.3,,Curling Bomb,4902,16.38,,Blaster,1399,8.28,4,2
Splattershot,3,1950,6.51,7.68,-1.17,2,-1,,* 3) Splattershot (6.51) -1.17,Splattershot,478,6.22,3,0,,Splattershot,555,6.98,3,0,,Splattershot,416,6.23,3,0,,Splat Roller,551,7.23,2,-1,,Sting Ray,4442,14.84,,Splat Bomb,4209,14.06,,Splattershot,1089,6.44,3,0
Blaster,4,1905,6.36,6.19,0.17,4,0,,* 4) Blaster (6.36) 0.17,Forge Splattershot Pro,432,5.62,5,1,,Blaster,410,5.16,4,0,,Splat Roller,353,5.29,2,-2,,Splattershot,501,6.57,3,-1,,Ink Storm,2748,9.18,,Burst Bomb,3602,12.03,,Splat Roller,1078,6.38,2,-2
Forge Splattershot Pro,5,1186,3.96,4.99,-1.03,5,0,,* 5) Forge Splattershot Pro (3.96) -1.03,Blaster,403,5.24,4,-1,,Splat Charger,326,4.1,7,2,,Forge Splattershot Pro,290,4.34,5,0,,Splat Charger,341,4.48,7,2,,Inkjet,2616,8.74,,Toxic Mist,3138,10.48,,Forge Splattershot Pro,708,4.19,5,0
.52 Gal Deco,6,986,3.29,,,,,,* 6) .52 Gal Deco (3.29) ,Enperry Splat Dualies,238,3.1,8,2,,.52 Gal Deco,321,4.04,6,0,,Rapid Blaster,221,3.31,9,3,,.52 Gal Deco,266,3.49,6,0,,Tenta Missiles,2569,8.58,,Autobomb,2280,7.62,,.52 Gal Deco,649,3.84,6,0
Splat Charger,7,976,3.26,2.73,0.53,8,1,,* 7) Splat Charger (3.26) 0.53,.52 Gal Deco,208,2.71,6,-1,,Sploosh-o-matic,275,3.46,13,6,,.52 Gal Deco,191,2.86,6,-1,,Enperry Splat Dualies,209,2.74,8,1,,Bubble Blower,1628,5.44,,Sprinkler,1598,5.34,,Splat Charger,605,3.58,7,0
Enperry Splat Dualies,8,912,3.05,2.76,0.29,6,-2,,* 8) Enperry Splat Dualies (3.05) 0.29,Sploosh-o-matic,205,2.67,13,5,,Enperry Splat Dualies,275,3.46,8,0,,Enperry Splat Dualies,190,2.85,8,0,,Forge Splattershot Pro,205,2.69,5,-3,,Baller,1407,4.7,,Ink Mine,1497,5,,Enperry Splat Dualies,583,3.45,8,0
Rapid Blaster,9,731,2.44,2.67,-0.23,9,0,,* 9) Rapid Blaster (2.44) -0.23,Splattershot Jr.,197,2.56,14,5,,Forge Splattershot Pro,259,3.26,5,-4,,Tri-Slosher,189,2.83,10,1,,Rapid Blaster,199,2.61,9,0,,Splat-Bomb Launcher,810,2.71,,Point Sensor,1244,4.16,,Rapid Blaster,505,2.99,9,0
Tri-Slosher,10,727,2.43,2.74,-0.31,7,-3,,* 10) Tri-Slosher (2.43) -0.31,Tentatek Splattershot,194,2.52,11,1,,Dapple Dualies Nouveau,221,2.78,12,2,,Splattershot Jr.,169,2.53,14,4,,Sloshing Machine,192,2.52,15,5,,Suction-Bomb Launcher,749,2.5,,Squid Beakon,1015,3.39,,Tri-Slosher,432,2.56,10,0
