All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2011,7.13,7.38,-0.25,1,0
Splat Roller,2,1851,6.56,6.13,0.43,4,2
Splattershot,3,1838,6.52,6.52,0.00,2,-1
Blaster,4,1698,6.02,6.14,-0.12,3,-1
Tentatek Splattershot,5,1181,4.19,3.59,0.59,7,2
Enperry Splat Dualies,6,1152,4.09,3.81,0.28,5,-1
Heavy Splatling,7,970,3.44,3.66,-0.22,6,-1
Splat Charger,8,953,3.38,3.03,0.35,9,1
Slosher Deco,9,833,2.95,3.51,-0.56,8,-1
Dapple Dualies Nouveau,10,728,2.58,2.49,0.09,11,1
Forge Splattershot Pro,11,716,2.54,2.61,-0.08,10,-1
Range Blaster,12,653,2.32,2.03,0.28,13,1
Splattershot Jr.,13,610,2.16,1.88,0.29,14,1
.52 Gal Deco,14,501,1.78,1.62,0.15,18,4
Clash Blaster,15,494,1.75,1.76,-0.01,16,1
Splatterscope,16,450,1.60,1.41,0.19,23,7
Tri-Slosher,17,445,1.58,1.64,-0.06,17,0
Dualie Squelchers,18,434,1.54,1.61,-0.07,19,1
Custom Jet Squelcher,19,414,1.47,1.45,0.02,22,3
Sploosh-o-matic,20,413,1.46,1.48,-0.01,20,0
Carbon Roller,21,400,1.42,1.30,0.12,26,5
Dapple Dualies,22,394,1.40,1.20,0.20,28,6
Sorella Brella,23,373,1.32,,,,
Splat Brella,24,362,1.28,2.07,-0.79,12,-12
Rapid Blaster,25,359,1.27,1.38,-0.10,24,-1
Custom Blaster,26,348,1.23,1.33,-0.10,25,-1
Octobrush,27,333,1.18,1.46,-0.28,21,-6
Luna Blaster,28,308,1.09,1.04,0.05,32,4
Sloshing Machine,29,304,1.08,1.02,0.06,33,4
N-ZAP '89,30,298,1.06,1.23,-0.18,27,-3
Gold Dynamo Roller,31,294,1.04,1.08,-0.03,29,-2
Inkbrush,32,292,1.04,1.06,-0.03,30,-2
Splattershot Pro,33,282,1.00,0.96,0.04,35,2
Zink Mini Splatling,34,256,0.91,1.83,-0.92,15,-19
Splat Dualies,35,252,0.89,1.05,-0.16,31,-4
Heavy Splatling Deco,36,247,0.88,0.90,-0.02,36,0
Dark Tetra Dualies,37,242,0.86,0.87,-0.02,37,0
Dynamo Roller,38,236,0.84,0.82,0.02,39,1
Sloshing Machine Neo,39,231,0.82,0.82,0.00,40,1
Rapid Blaster Deco,40,219,0.78,0.74,0.04,42,2
Octobrush Nouveau,41,216,0.77,0.80,-0.03,41,0
H-3 Nozzlenose D,42,210,0.74,0.97,-0.23,34,-8
.52 Gal,43,178,0.63,0.83,-0.20,38,-5
Splash-o-matic,44,176,0.62,0.58,0.04,44,0
Classic Squiffer,45,162,0.57,0.59,-0.01,43,-2
Rapid Blaster Pro,46,158,0.56,0.53,0.03,48,2
E-liter 4K Scope,47,150,0.53,0.54,-0.01,47,0
Krak-On Splat Roller,48,144,0.51,0.50,0.01,50,2
Hydra Splatling,49,143,0.51,0.58,-0.07,45,-4
Bamboozler 14 Mk I,50,131,0.46,0.43,0.04,52,2
Tenta Brella,51,129,0.46,0.39,0.06,55,4
Firefin Splat Charger,52,128,0.45,0.41,0.05,53,1
Mini Splatling,53,126,0.45,0.57,-0.13,46,-7
Slosher,54,126,0.45,0.47,-0.03,51,-3
Aerospray MG,55,118,0.42,0.39,0.03,56,1
Aerospray RG,56,115,0.41,0.40,0.01,54,-2
Custom Splattershot Jr.,57,115,0.41,0.52,-0.11,49,-8
E-liter 4K,58,113,0.40,0.39,0.01,57,-1
Inkbrush Nouveau,59,110,0.39,0.32,0.07,60,1
Jet Squelcher,60,103,0.37,0.38,-0.01,58,-2
Undercover Brella,61,86,0.30,0.26,0.04,66,5
.96 Gal Deco,62,82,0.29,0.31,-0.02,61,-1
Squeezer,63,80,0.28,0.36,-0.08,59,-4
Firefin Splatterscope,64,79,0.28,0.27,0.01,64,0
.96 Gal,65,77,0.27,0.27,0.01,65,0
L-3 Nozzlenose,66,65,0.23,0.31,-0.08,62,-4
Foil Flingza Roller,67,64,0.23,0.17,0.06,68,1
Neo Sploosh-o-matic,68,62,0.22,0.20,0.02,67,-1
Glooga Dualies,69,62,0.22,0.17,0.05,69,0
L-3 Nozzlenose D,70,61,0.22,0.28,-0.07,63,-7
Custom Goo Tuber,71,50,0.18,0.14,0.03,72,1
Custom E-liter 4K Scope,72,45,0.16,0.14,0.02,74,2
Flingza Roller,73,41,0.15,0.15,0.00,70,-3
Goo Tuber,74,36,0.13,0.14,-0.01,73,-1
H-3 Nozzlenose,75,30,0.11,0.08,0.03,76,1
Custom E-liter 4K,76,29,0.10,0.14,-0.04,71,-5
Luna Blaster Neo,77,25,0.09,0.09,-0.01,75,-2
