All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,1661,6.53,6.42,0.11,1,0
Tentatek Splattershot,2,1420,5.58,5.46,0.12,2,0
Splat Roller,3,1288,5.06,4.99,0.07,3,0
Enperry Splat Dualies,4,1216,4.78,4.72,0.06,4,0
Splattershot,5,1074,4.22,4.44,-0.22,5,0
Dapple Dualies Nouveau,6,872,3.43,3.38,0.04,7,1
Blaster,7,845,3.32,3.60,-0.28,6,-1
Custom Blaster,8,731,2.87,2.62,0.25,10,2
Splat Charger,9,694,2.73,2.77,-0.04,8,-1
Forge Splattershot Pro,10,665,2.61,2.65,-0.03,9,-1
Heavy Splatling,11,628,2.47,2.48,-0.01,11,0
Splattershot Jr.,12,521,2.05,2.08,-0.03,13,1
Neo Splash-o-matic,13,502,1.97,2.10,-0.13,12,-1
Dualie Squelchers,14,471,1.85,1.80,0.05,15,1
Gold Dynamo Roller,15,471,1.85,1.85,0.00,14,-1
Range Blaster,16,424,1.67,1.55,0.12,17,1
Clash Blaster Neo,17,421,1.65,1.48,0.18,19,2
Slosher Deco,18,417,1.64,1.45,0.19,20,2
Custom Jet Squelcher,19,405,1.59,1.33,0.26,23,4
Dapple Dualies,20,387,1.52,1.51,0.01,18,-2
Splatterscope,21,381,1.50,1.61,-0.11,16,-5
Rapid Blaster Deco,22,369,1.45,1.29,0.16,26,4
Carbon Roller,23,352,1.38,1.39,0.00,22,-1
Dynamo Roller,24,337,1.32,1.40,-0.08,21,-3
Heavy Splatling Deco,25,334,1.31,1.32,-0.01,25,0
Sploosh-o-matic,26,334,1.31,1.26,0.06,27,1
Octobrush,27,325,1.28,1.21,0.06,28,1
N-ZAP '89,28,302,1.19,1.32,-0.14,24,-4
Tri-Slosher,29,297,1.17,1.21,-0.04,29,0
Splat Dualies,30,286,1.12,0.97,0.16,35,5
Rapid Blaster Pro,31,264,1.04,0.84,0.20,41,10
Clash Blaster,32,261,1.03,1.17,-0.15,30,-2
Rapid Blaster,33,258,1.01,1.15,-0.14,31,-2
Luna Blaster,34,256,1.01,0.94,0.07,36,2
Splattershot Pro,35,255,1.00,1.08,-0.08,32,-3
Splat Brella,36,254,1.00,1.02,-0.02,33,-3
Inkbrush,37,252,0.99,0.99,0.00,34,-3
Tenta Brella,38,231,0.91,0.86,0.05,39,1
Tri-Slosher Nouveau,39,226,0.89,0.82,0.07,42,3
Dark Tetra Dualies,40,220,0.86,0.87,-0.01,38,-2
H-3 Nozzlenose D,41,213,0.84,0.79,0.05,43,2
.52 Gal Deco,42,205,0.81,0.85,-0.04,40,-2
Sloshing Machine,43,199,0.78,0.90,-0.11,37,-6
Octobrush Nouveau,44,196,0.77,0.75,0.02,44,0
Sloshing Machine Neo,45,171,0.67,0.73,-0.06,46,1
Hydra Splatling,46,160,0.63,0.74,-0.11,45,-1
.52 Gal,47,158,0.62,0.61,0.01,49,2
Custom Range Blaster,48,155,0.61,0.70,-0.09,47,-1
Slosher,49,139,0.55,0.58,-0.03,51,2
Foil Squeezer,50,129,0.51,0.48,0.03,56,6
Zink Mini Splatling,51,127,0.50,0.57,-0.07,52,1
Krak-On Splat Roller,52,126,0.50,0.47,0.03,58,6
Glooga Dualies Deco,53,124,0.49,0.50,-0.02,55,2
Firefin Splat Charger,54,124,0.49,0.59,-0.11,50,-4
Inkbrush Nouveau,55,122,0.48,0.44,0.04,60,5
E-liter 4K Scope,56,121,0.48,0.63,-0.15,48,-8
Custom Splattershot Jr.,57,121,0.48,0.42,0.05,64,7
E-liter 4K,58,115,0.45,0.48,-0.02,57,-1
.96 Gal Deco,59,114,0.45,0.56,-0.11,53,-6
Jet Squelcher,60,113,0.44,0.52,-0.07,54,-6
Bamboozler 14 Mk I,61,108,0.42,0.46,-0.04,59,-2
Firefin Splatterscope,62,104,0.41,0.44,-0.03,61,-1
Mini Splatling,63,100,0.39,0.43,-0.04,63,0
Sorella Brella,64,94,0.37,0.41,-0.04,66,2
Foil Flingza Roller,65,92,0.36,0.39,-0.03,67,2
New Squiffer,66,91,0.36,0.30,0.06,69,3
.96 Gal,67,91,0.36,0.27,0.09,70,3
Classic Squiffer,68,90,0.35,0.41,-0.06,65,-3
Flingza Roller,69,87,0.34,0.44,-0.09,62,-7
Splash-o-matic,70,83,0.33,0.31,0.02,68,-2
L-3 Nozzlenose D,71,80,0.31,0.23,0.08,75,4
Glooga Dualies,72,75,0.29,0.26,0.04,73,1
Aerospray MG,73,72,0.28,0.26,0.02,72,-1
Undercover Brella,74,58,0.23,0.19,0.04,77,3
Aerospray RG,75,58,0.23,0.27,-0.04,71,-4
Custom Goo Tuber,76,57,0.22,0.14,0.09,79,3
Squeezer,77,42,0.17,0.20,-0.04,76,-1
Neo Sploosh-o-matic,78,39,0.15,0.26,-0.10,74,-4
L-3 Nozzlenose,79,34,0.13,0.12,0.01,80,1
Custom E-liter 4K,80,34,0.13,0.12,0.02,81,1
H-3 Nozzlenose,81,33,0.13,0.09,0.04,83,2
Goo Tuber,82,32,0.13,0.09,0.03,82,0
Custom E-liter 4K Scope,83,29,0.11,0.17,-0.06,78,-5
Luna Blaster Neo,84,22,0.09,0.06,0.02,84,0
