All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
N-ZAP '85,1,1619,5.96,6.351488498,-0.39,1,0,,1) N-ZAP '85 (5.96) -0.39
Tentatek Splattershot,2,1452,5.34,3.332205683,2.01,6,4,,2) Tentatek Splattershot (5.34) 2.01
Enperry Splat Dualies,3,1321,4.86,3.915764547,0.95,5,2,,3) Enperry Splat Dualies (4.86) 0.95
Splat Roller,4,1269,4.67,5.928619756,-1.26,2,-2,,4) Splat Roller (4.67) -1.26
Splattershot,5,1165,4.29,4.609269283,-0.32,3,-2,,5) Splattershot (4.29) -0.32
Blaster,6,1060,3.90,4.283660352,-0.38,4,-2,,6) Blaster (3.90) -0.38
Dapple Dualies Nouveau,7,891,3.28,3.006596752,0.27,7,0,,7) Dapple Dualies Nouveau (3.28) 0.27
Neo Splash-o-matic,8,770,2.83,2.000169147,0.83,14,6,,8) Neo Splash-o-matic (2.83) 0.83
Splat Charger,9,724,2.66,2.647158322,0.02,9,0,,9) Splat Charger (2.66) 0.02
Forge Splattershot Pro,10,665,2.45,2.300405954,0.15,10,0,,10) Forge Splattershot Pro (2.45) 0.15
Heavy Splatling,11,655,2.41,2.905108254,-0.49,8,-3,,
Custom Blaster,12,606,2.23,1.2432341,0.99,30,18,,
Gold Dynamo Roller,13,586,2.16,1.644959405,0.51,17,4,,
Range Blaster,14,498,1.83,1.513870095,0.32,18,4,,
Splattershot Jr.,15,483,1.78,2.046684709,-0.27,12,-3,,
Slosher Deco,16,479,1.76,2.249661705,-0.49,11,-5,,
Dynamo Roller,17,459,1.69,1.048714479,0.64,36,19,,
Dualie Squelchers,18,436,1.60,2.038227334,-0.43,13,-5,,
Clash Blaster Neo,19,419,1.54,1.771820027,-0.23,16,-3,,
Carbon Roller,20,407,1.50,1.293978349,0.20,29,9,,
Rapid Blaster,21,402,1.48,1.348951286,0.13,24,3,,
Dapple Dualies,22,389,1.43,1.302435724,0.13,28,6,,
Heavy Splatling Deco,23,378,1.39,1.065629229,0.33,34,11,,
Splatterscope,24,373,1.37,1.425067659,-0.05,20,-4,,
Custom Jet Squelcher,25,370,1.36,1.327807848,0.03,26,1,,
Rapid Blaster Deco,26,329,1.21,0.8161366712,0.39,40,14,,
Splat Brella,27,316,1.16,1.361637348,-0.20,23,-4,,
Tri-Slosher,28,311,1.14,1.412381597,-0.27,21,-7,,
Octobrush,29,305,1.12,1.323579161,-0.20,27,-2,,
Sploosh-o-matic,30,304,1.12,1.509641407,-0.39,19,-11,,
Clash Blaster,31,263,0.97,1.340493911,-0.37,25,-6,,
Glooga Dualies Deco,32,260,0.96,0.4820703654,0.47,57,25,,
Tenta Brella,33,257,0.95,0.6681326116,0.28,48,15,,
Splat Dualies,34,250,0.92,1.217861976,-0.30,31,-3,,
Splattershot Pro,35,245,0.90,1.023342355,-0.12,38,3,,
Inkbrush,36,245,0.90,1.048714479,-0.15,35,-1,,
Tri-Slosher Nouveau,37,244,0.90,1.120602165,-0.22,33,-4,,
Luna Blaster,38,236,0.87,0.8541948579,0.01,39,1,,
N-ZAP '89,39,234,0.86,1.378552097,-0.52,22,-17,,
.52 Gal Deco,40,231,0.85,1.217861976,-0.37,32,-8,,
Sloshing Machine,41,230,0.85,1.044485792,-0.20,37,-4,,
.96 Gal Deco,42,228,0.84,0.7188768606,0.12,47,5,,
Custom Range Blaster,43,226,0.83,1.936738836,-1.10,15,-28,,
Sloshing Machine Neo,44,222,0.82,0.7611637348,0.06,44,0,,
H-3 Nozzlenose D,45,199,0.73,0.5751014885,0.16,51,6,,
Rapid Blaster Pro,46,191,0.70,0.7907645467,-0.09,41,-5,,
Hydra Splatling,47,191,0.70,0.5835588633,0.12,50,3,,
Zink Mini Splatling,48,186,0.68,0.7442489851,-0.06,45,-3,,
Octobrush Nouveau,49,183,0.67,0.7273342355,-0.05,46,-3,,
Foil Squeezer,50,175,0.64,0.3382949932,0.31,69,19,,
Dark Tetra Dualies,51,174,0.64,0.773849797,-0.13,42,-9,,
.52 Gal,52,166,0.61,0.7696211096,-0.16,43,-9,,
