All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2036,7.85,7.13,0.72,1,0
Splat Roller,2,1685,6.50,6.563829787,-0.06,2,0
Splattershot,3,1460,5.63,6.517730496,-0.89,3,0
Blaster,4,1364,5.26,6.021276596,-0.76,4,0
Enperry Splat Dualies,5,1109,4.28,4.085106383,0.19,6,1
Tentatek Splattershot,6,977,3.77,4.187943262,-0.42,5,-1
Dapple Dualies Nouveau,7,929,3.58,2.581560284,1.00,10,3
Heavy Splatling,8,923,3.56,3.439716312,0.12,7,-1
Splat Charger,9,856,3.30,3.379432624,-0.08,8,-1
Slosher Deco,10,723,2.79,2.953900709,-0.16,9,-1
Forge Splattershot Pro,11,626,2.41,2.539007092,-0.12,11,0
Splattershot Jr.,12,567,2.19,2.163120567,0.02,13,1
Range Blaster,13,539,2.08,2.315602837,-0.24,12,-1
Clash Blaster Neo,14,538,2.08,,,,
Dualie Squelchers,15,467,1.80,1.539007092,0.26,18,3
.52 Gal Deco,16,455,1.76,1.776595745,-0.02,14,-2
Sploosh-o-matic,17,436,1.68,1.464539007,0.22,20,3
Splatterscope,18,405,1.56,1.595744681,-0.03,16,-2
Tri-Slosher,19,384,1.48,1.578014184,-0.10,17,-2
Clash Blaster,20,382,1.47,1.75177305,-0.28,15,-5
Custom Jet Squelcher,21,379,1.46,1.468085106,-0.01,19,-2
Carbon Roller,22,350,1.35,1.418439716,-0.07,21,-1
Octobrush,23,347,1.34,1.180851064,0.16,27,4
Dapple Dualies,24,337,1.30,1.397163121,-0.10,22,-2
Rapid Blaster,25,325,1.25,1.273049645,-0.02,25,0
Gold Dynamo Roller,26,319,1.23,1.042553191,0.19,31,5
Splat Brella,27,318,1.23,1.283687943,-0.06,24,-3
Custom Blaster,28,299,1.15,1.234042553,-0.08,26,-2
Splat Dualies,29,293,1.13,0.8936170213,0.24,35,6
Sloshing Machine,30,282,1.09,1.078014184,0.01,29,-1
Inkbrush,31,271,1.05,1.035460993,0.01,32,1
N-ZAP '89,32,270,1.04,1.056737589,-0.02,30,-2
Splattershot Pro,33,245,0.95,1,-0.05,33,0
Heavy Splatling Deco,34,234,0.90,0.8758865248,0.03,36,2
Luna Blaster,35,212,0.82,1.092198582,-0.27,28,-7
Sloshing Machine Neo,36,207,0.80,0.8191489362,-0.02,39,3
Dynamo Roller,37,203,0.78,0.8368794326,-0.05,38,1
Dark Tetra Dualies,38,193,0.74,0.8581560284,-0.11,37,-1
Zink Mini Splatling,39,192,0.74,0.9078014184,-0.17,34,-5
Octobrush Nouveau,40,186,0.72,0.7659574468,-0.05,41,1
Rapid Blaster Deco,41,176,0.68,0.7765957447,-0.10,40,-1
Sorella Brella,42,176,0.68,1.322695035,-0.64,23,-19
.52 Gal,43,174,0.67,0.6312056738,0.04,43,0
Splash-o-matic,44,165,0.64,0.6241134752,0.01,44,0
H-3 Nozzlenose D,45,154,0.59,0.7446808511,-0.15,42,-3
Rapid Blaster Pro,46,152,0.59,0.5602836879,0.03,46,0
Classic Squiffer,47,151,0.58,0.5744680851,0.01,45,-2
Krak-On Splat Roller,48,144,0.56,0.5106382979,0.04,48,0
Hydra Splatling,49,144,0.56,0.5070921986,0.05,49,0
Bamboozler 14 Mk I,50,135,0.52,0.4645390071,0.06,50,0
E-liter 4K Scope,51,132,0.51,0.5319148936,-0.02,47,-4
Custom Splattershot Jr.,52,124,0.48,0.4078014184,0.07,57,5
Slosher,53,116,0.45,0.4468085106,0.00,54,1
Tenta Brella,54,112,0.43,0.4574468085,-0.03,51,-3
Mini Splatling,55,110,0.42,0.4468085106,-0.02,53,-2
E-liter 4K,56,108,0.42,0.4007092199,0.02,58,2
Firefin Splat Charger,57,108,0.42,0.4539007092,-0.04,52,-5
Aerospray RG,58,102,0.39,0.4078014184,-0.01,56,-2
Aerospray MG,59,94,0.36,0.4184397163,-0.06,55,-4
Inkbrush Nouveau,60,90,0.35,0.390070922,-0.04,59,-1
Jet Squelcher,61,77,0.30,0.365248227,-0.07,60,-1
Firefin Splatterscope,62,72,0.28,0.280141844,0.00,64,2
Glooga Dualies,63,70,0.27,0.219858156,0.05,69,6
.96 Gal,64,68,0.26,0.2730496454,-0.01,65,1
L-3 Nozzlenose D,65,67,0.26,0.2163120567,0.04,70,5
Undercover Brella,66,67,0.26,0.304964539,-0.05,61,-5
.96 Gal Deco,67,66,0.25,0.2907801418,-0.04,62,-5
L-3 Nozzlenose,68,58,0.22,0.2304964539,-0.01,66,-2
Neo Sploosh-o-matic,69,57,0.22,0.219858156,0.00,68,-1
Squeezer,70,56,0.22,0.2836879433,-0.07,63,-7
Custom Goo Tuber,71,47,0.18,0.1773049645,0.00,71,0
Foil Flingza Roller,72,42,0.16,0.2269503546,-0.06,67,-5
Custom E-liter 4K,73,38,0.15,0.1028368794,0.04,76,3
Flingza Roller,74,34,0.13,0.1453900709,-0.01,73,-1
Goo Tuber,75,33,0.13,0.1276595745,0.00,74,-1
Custom E-liter 4K Scope,76,32,0.12,0.1595744681,-0.04,72,-4
Luna Blaster Neo,77,25,0.10,0.08865248227,0.01,77,0
H-3 Nozzlenose,78,25,0.10,0.1063829787,-0.01,75,-3
