All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,1892,7.38,7.857451093,-0.47,1,0
Splattershot,2,1670,6.52,6.717491369,-0.20,2,0
Blaster,3,1573,6.14,6.577243959,-0.44,3,0
Splat Roller,4,1571,6.13,5.951524741,0.18,4,0
Enperry Splat Dualies,5,976,3.81,3.606875719,0.20,7,2
Heavy Splatling,6,939,3.66,3.757911392,-0.09,6,0
Tentatek Splattershot,7,921,3.59,4.250575374,-0.66,5,-2
Slosher Deco,8,900,3.51,3.369533947,0.14,8,0
Splat Charger,9,777,3.03,3.171749137,-0.14,9,0
Forge Splattershot Pro,10,670,2.61,2.815736479,-0.20,10,0
Dapple Dualies Nouveau,11,638,2.49,1.967059839,0.52,12,1
Splat Brella,12,531,2.07,1.823216341,0.25,15,3
Range Blaster,13,521,2.03,1.916714614,0.12,13,0
Splattershot Jr.,14,481,1.88,1.891542002,-0.01,14,0
Zink Mini Splatling,15,468,1.83,,,,
Clash Blaster,16,452,1.76,1.582278481,0.18,17,1
Tri-Slosher,17,420,1.64,1.571490219,0.07,18,1
.52 Gal Deco,18,416,1.62,1.816024166,-0.19,16,-2
Dualie Squelchers,19,412,1.61,1.513952819,0.09,20,1
Sploosh-o-matic,20,378,1.48,1.370109321,0.11,23,3
Octobrush,21,375,1.46,1.139959724,0.32,25,4
Custom Jet Squelcher,22,371,1.45,1.114787112,0.33,26,4
Splatterscope,23,361,1.41,1.524741082,-0.12,19,-4
Rapid Blaster,24,353,1.38,1.49956847,-0.12,21,-3
Custom Blaster,25,342,1.33,0.999712313,0.33,32,7
Carbon Roller,26,333,1.30,1.398878021,-0.10,22,-4
N-ZAP '89,27,316,1.23,1.071634062,0.16,28,1
Dapple Dualies,28,307,1.20,1.323360184,-0.13,24,-4
Gold Dynamo Roller,29,276,1.08,1.068037975,0.01,29,0
Inkbrush,30,272,1.06,0.9529631761,0.11,35,5
Splat Dualies,31,269,1.05,0.8954257768,0.15,36,5
Luna Blaster,32,266,1.04,0.9925201381,0.05,33,1
Sloshing Machine,33,262,1.02,1.010500575,0.01,31,-2
H-3 Nozzlenose D,34,249,0.97,2.323072497,-1.35,11,-23
Splattershot Pro,35,245,0.96,0.960155351,0.00,34,-1
Heavy Splatling Deco,36,230,0.90,1.086018412,-0.19,27,-9
Dark Tetra Dualies,37,224,0.87,1.035673188,-0.16,30,-7
.52 Gal,38,213,0.83,0.7767548907,0.05,40,2
Dynamo Roller,39,209,0.82,0.8163118527,0.00,37,-2
Sloshing Machine Neo,40,209,0.82,0.8127157652,0.00,38,-2
Octobrush Nouveau,41,205,0.80,0.794735328,0.01,39,-2
Rapid Blaster Deco,42,190,0.74,0.7336018412,0.01,42,0
Classic Squiffer,43,150,0.59,0.5861622555,0.00,45,2
Splash-o-matic,44,149,0.58,0.5178365938,0.06,46,2
Hydra Splatling,45,148,0.58,0.6041426928,-0.03,44,-1
Mini Splatling,46,147,0.57,0.7515822785,-0.18,41,-5
E-liter 4K Scope,47,138,0.54,0.6401035673,-0.10,43,-4
Rapid Blaster Pro,48,136,0.53,0.496260069,0.03,49,1
Custom Splattershot Jr.,49,133,0.52,0.4746835443,0.04,50,1
Krak-On Splat Roller,50,129,0.50,0.4243383199,0.08,54,4
Slosher,51,121,0.47,0.4387226697,0.03,53,2
Bamboozler 14 Mk I,52,110,0.43,0.5070483314,-0.08,48,-4
Firefin Splat Charger,53,104,0.41,0.5106444189,-0.10,47,-6
Aerospray RG,54,102,0.40,0.4531070196,-0.06,51,-3
Tenta Brella,55,101,0.39,0.3919735328,0.00,56,1
Aerospray MG,56,100,0.39,0.3703970081,0.02,58,2
E-liter 4K,57,99,0.39,0.4495109321,-0.06,52,-5
Jet Squelcher,58,97,0.38,0.3703970081,0.01,57,-1
Squeezer,59,92,0.36,0.3092635213,0.05,61,2
Inkbrush Nouveau,60,82,0.32,0.3416283084,-0.02,60,0
.96 Gal Deco,61,80,0.31,0.4099539701,-0.10,55,-6
L-3 Nozzlenose,62,79,0.31,0.2409378596,0.07,66,4
L-3 Nozzlenose D,63,73,0.28,0.2840909091,0.00,64,1
Firefin Splatterscope,64,70,0.27,0.3632048331,-0.09,59,-5
.96 Gal,65,68,0.27,0.2876869965,-0.02,63,-2
Undercover Brella,66,67,0.26,0.2445339471,0.02,65,-1
Neo Sploosh-o-matic,67,52,0.20,0.3020713464,-0.10,62,-5
Foil Flingza Roller,68,44,0.17,0.2265535098,-0.05,67,-1
Glooga Dualies,69,43,0.17,0.204976985,-0.04,68,-1
Flingza Roller,70,38,0.15,0.1330552359,0.02,72,2
Custom E-liter 4K,71,37,0.14,0.125863061,0.02,73,2
Custom Goo Tuber,72,37,0.14,0.1798043728,-0.04,69,-3
Goo Tuber,73,36,0.14,0.1402474108,0.00,71,-2
Custom E-liter 4K Scope,74,35,0.14,0.1546317606,-0.02,70,-4
Luna Blaster Neo,75,24,0.09,0.1006904488,-0.01,75,0
H-3 Nozzlenose,76,20,0.08,0.1042865362,-0.03,74,-2
