Weapon Name,Count,Percent
Splattershot,4978,17.1
Range Blaster,1989,6.83
Splat Roller,1954,6.71
N-ZAP '85,1790,6.15
Splat Brella,1438,4.94
Sloshing Machine,1297,4.46
Splat Charger,1003,3.45
Splattershot Pro,897,3.08
Tentatek Splattershot,740,2.54
Sploosh-o-matic,733,2.52
Luna Blaster,672,2.31
Splattershot Jr.,671,2.31
Heavy Splatling,641,2.2
Gold Dynamo Roller,606,2.08
Splatterscope,512,1.76
Rapid Blaster,503,1.73
.52 Gal,458,1.57
.96 Gal,452,1.55
Forge Splattershot Pro,438,1.5
Clash Blaster,432,1.48
Octobrush,414,1.42
Custom Splattershot Jr.,399,1.37
Carbon Roller,396,1.36
Dapple Dualies,345,1.19
Dynamo Roller,342,1.18
Dualie Squelchers,311,1.07
Mini Splatling,306,1.05
Enperry Splat Dualies,302,1.04
E-liter 4K Scope,284,0.98
Tri-Slosher,277,0.95
Splat Dualies,272,0.93
Slosher,259,0.89
Rapid Blaster Pro,237,0.81
Blaster,223,0.77
Inkbrush,214,0.74
Jet Squelcher,209,0.72
Custom Jet Squelcher,184,0.63
L-3 Nozzlenose,176,0.6
Bamboozler 14 Mk I,176,0.6
Heavy Splatling Deco,157,0.54
Classic Squiffer,147,0.51
E-liter 4K,144,0.49
Firefin Splatterscope,142,0.49
Firefin Splat Charger,137,0.47
Splash-o-matic,134,0.46
Krak-On Splat Roller,132,0.45
Tenta Brella,105,0.36
H-3 Nozzlenose,104,0.36
Aerospray RG,88,0.3
Aerospray MG,84,0.29
Flingza Roller,59,0.2
Custom E-liter 4K Scope,48,0.16
Custom Blaster,39,0.13
Goo Tuber,29,0.1
Custom E-liter 4K,25,0.09
