All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2185,7.86,7.98,-0.12,1,0
Splattershot,2,1868,6.72,7.39,-0.67,2,0
Blaster,3,1829,6.58,6.43,0.15,3,0
Splat Roller,4,1655,5.95,6.10,-0.15,4,0
Tentatek Splattershot,5,1182,4.25,3.86,0.39,5,0
Heavy Splatling,6,1045,3.76,3.21,0.55,9,3
Enperry Splat Dualies,7,1003,3.61,3.81,-0.20,6,-1
Slosher Deco,8,937,3.37,3.71,-0.34,7,-1
Splat Charger,9,882,3.17,3.36,-0.19,8,-1
Forge Splattershot Pro,10,783,2.82,2.63,0.19,10,0
H-3 Nozzlenose D,11,646,2.32,,,,
Dapple Dualies Nouveau,12,547,1.97,1.98,-0.01,12,0
Range Blaster,13,533,1.92,1.64,0.27,17,4
Splattershot Jr.,14,526,1.89,2.26,-0.37,11,-3
Splat Brella,15,507,1.82,1.93,-0.11,13,-2
.52 Gal Deco,16,505,1.82,1.73,0.09,15,-1
Clash Blaster,17,440,1.58,1.78,-0.20,14,-3
Tri-Slosher,18,437,1.57,1.71,-0.14,16,-2
Splatterscope,19,424,1.52,1.34,0.18,22,3
Dualie Squelchers,20,421,1.51,1.55,-0.04,19,-1
Rapid Blaster,21,417,1.50,1.45,0.05,21,0
Carbon Roller,22,389,1.40,1.56,-0.17,18,-4
Sploosh-o-matic,23,381,1.37,1.52,-0.15,20,-3
Dapple Dualies,24,368,1.32,1.21,0.12,25,1
Octobrush,25,317,1.14,1.24,-0.10,23,-2
Custom Jet Squelcher,26,310,1.11,1.15,-0.03,26,0
Heavy Splatling Deco,27,302,1.09,0.99,0.10,34,7
N-ZAP '89,28,298,1.07,1.12,-0.05,27,-1
Gold Dynamo Roller,29,297,1.07,1.01,0.06,31,2
Dark Tetra Dualies,30,288,1.04,1.24,-0.21,24,-6
Sloshing Machine,31,281,1.01,1.03,-0.02,29,-2
Custom Blaster,32,278,1.00,0.95,0.05,36,4
Luna Blaster,33,276,0.99,1.00,-0.01,32,-1
Splattershot Pro,34,267,0.96,0.96,0.00,35,1
Inkbrush,35,265,0.95,1.03,-0.07,30,-5
Splat Dualies,36,249,0.90,1.00,-0.10,33,-3
Dynamo Roller,37,227,0.82,0.88,-0.07,37,0
Sloshing Machine Neo,38,226,0.81,1.09,-0.27,28,-10
Octobrush Nouveau,39,221,0.79,0.75,0.05,40,1
.52 Gal,40,216,0.78,0.82,-0.04,39,-1
Mini Splatling,41,209,0.75,0.88,-0.13,38,-3
Rapid Blaster Deco,42,204,0.73,0.68,0.05,41,-1
E-liter 4K Scope,43,178,0.64,0.50,0.14,48,5
Hydra Splatling,44,168,0.60,0.60,0.01,44,0
Classic Squiffer,45,163,0.59,0.56,0.03,45,0
Splash-o-matic,46,144,0.52,0.60,-0.09,43,-3
Firefin Splat Charger,47,142,0.51,0.56,-0.05,46,-1
Bamboozler 14 Mk I,48,141,0.51,0.46,0.04,51,3
Rapid Blaster Pro,49,138,0.50,0.49,0.01,49,0
Custom Splattershot Jr.,50,132,0.47,0.47,0.00,50,0
Aerospray RG,51,126,0.45,0.61,-0.16,42,-9
E-liter 4K,52,125,0.45,0.41,0.04,54,2
Slosher,53,122,0.44,0.45,-0.01,52,-1
Krak-On Splat Roller,54,118,0.42,0.50,-0.08,47,-7
.96 Gal Deco,55,114,0.41,0.37,0.04,58,3
Tenta Brella,56,109,0.39,0.35,0.04,61,5
Jet Squelcher,57,103,0.37,0.39,-0.02,56,-1
Aerospray MG,58,103,0.37,0.37,0.00,59,1
Firefin Splatterscope,59,101,0.36,0.36,0.00,60,1
Inkbrush Nouveau,60,95,0.34,0.39,-0.05,57,-3
Squeezer,61,86,0.31,0.32,-0.01,63,2
Neo Sploosh-o-matic,62,84,0.30,0.45,-0.15,53,-9
.96 Gal,63,80,0.29,0.34,-0.05,62,-1
L-3 Nozzlenose D,64,79,0.28,0.27,0.02,65,1
Undercover Brella,65,68,0.24,0.23,0.02,67,2
L-3 Nozzlenose,66,67,0.24,0.29,-0.05,64,-2
Foil Flingza Roller,67,63,0.23,0.25,-0.03,66,-1
Glooga Dualies,68,57,0.20,0.21,-0.01,68,0
Custom Goo Tuber,69,50,0.18,0.19,-0.01,69,0
Custom E-liter 4K Scope,70,43,0.15,0.12,0.03,72,2
Goo Tuber,71,39,0.14,0.11,0.03,73,2
Flingza Roller,72,37,0.13,0.18,-0.05,70,-2
Custom E-liter 4K,73,35,0.13,0.09,0.04,74,1
H-3 Nozzlenose,74,29,0.10,0.40,-0.29,55,-19
Luna Blaster Neo,75,28,0.10,0.13,-0.03,71,-4
