All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
N-ZAP '85,1,2980,9.75,10.42,-0.67,1,0,,* 1) N-ZAP '85 (9.75) -0.67
Splattershot,2,2375,7.77,8.19,-0.42,2,0,,* 2) Splattershot (7.77) -0.42
Blaster,3,2187,7.16,6.76,0.4,3,0,,* 3) Blaster (7.16) 0.4
Splat Roller,4,2000,6.55,6.63,-0.08,4,0,,* 4) Splat Roller (6.55) -0.0800000000000001
Enperry Splat Dualies,5,1064,3.48,3.24,0.24,7,2,,* 5) Enperry Splat Dualies (3.48) 0.24
Splat Charger,6,959,3.14,3.25,-0.11,6,0,,* 6) Splat Charger (3.14) -0.11
Heavy Splatling,7,921,3.01,2.34,0.67,10,3,,* 7) Heavy Splatling (3.01) 0.67
Forge Splattershot Pro,8,919,3.01,3.54,-0.53,5,-3,,* 8) Forge Splattershot Pro (3.01) -0.53
Dapple Dualies Nouveau,9,842,2.76,2.38,0.38,9,0,,* 9) Dapple Dualies Nouveau (2.76) 0.38
Sloshing Machine Neo,10,838,2.74,,,,,,* 10) Sloshing Machine Neo (2.74) 
Tentatek Splattershot,11,686,2.25,2.63,-0.38,8,-3,,
Splattershot Jr.,12,664,2.17,2.16,0.01,11,-1,,
Splat Brella,13,648,2.12,1.93,0.19,16,3,,
Tri-Slosher,14,563,1.84,2.15,-0.31,12,-2,,
.52 Gal Deco,15,554,1.81,1.67,0.14,19,4,,
Sploosh-o-matic,16,550,1.8,1.92,-0.12,17,1,,
Range Blaster,17,527,1.72,1.97,-0.25,15,-2,,
Slosher Deco,18,515,1.69,2.03,-0.34,14,-4,,
Rapid Blaster,19,487,1.59,1.79,-0.2,18,-1,,
Sloshing Machine,20,478,1.56,2.1,-0.54,13,-7,,
Dualie Squelchers,21,452,1.48,1.5,-0.02,20,-1,,
N-ZAP '89,22,448,1.47,1.4,0.07,22,0,,
Dapple Dualies,23,446,1.46,1.32,0.14,23,0,,
Splatterscope,24,432,1.41,1.46,-0.05,21,-3,,
Heavy Splatling Deco,25,384,1.26,1.19,0.07,26,1,,
Octobrush,26,383,1.25,1.25,0,24,-2,,
Carbon Roller,27,371,1.21,1.23,-0.02,25,-2,,
Luna Blaster,28,370,1.21,1.14,0.07,27,-1,,
Splat Dualies,29,345,1.13,1.09,0.04,30,1,,
Gold Dynamo Roller,30,343,1.12,1.04,0.08,31,1,,
Splattershot Pro,31,334,1.09,1.11,-0.02,28,-3,,
Custom Jet Squelcher,32,297,0.97,0.95,0.02,32,0,,
Inkbrush,33,289,0.95,1.11,-0.16,29,-4,,
Octobrush Nouveau,34,251,0.82,0.87,-0.05,34,0,,
Clash Blaster,35,241,0.79,0.81,-0.02,36,1,,
Dynamo Roller,36,219,0.72,0.84,-0.12,35,-1,,
Splash-o-matic,37,210,0.69,0.63,0.06,41,4,,
Mini Splatling,38,207,0.68,0.75,-0.07,37,-1,,
Custom Blaster,39,207,0.68,0.63,0.05,43,4,,
.96 Gal Deco,40,204,0.67,0.88,-0.21,33,-7,,
.52 Gal,41,197,0.64,0.68,-0.04,38,-3,,
Rapid Blaster Deco,42,193,0.63,0.65,-0.02,39,-3,,
Slosher,43,184,0.6,0.64,-0.04,40,-3,,
Firefin Splat Charger,44,161,0.53,0.61,-0.08,44,0,,
Custom Splattershot Jr.,45,159,0.52,0.44,0.08,48,3,,
E-liter 4K Scope,46,156,0.51,0.49,0.02,46,0,,
Squeezer,47,154,0.5,0.53,-0.03,45,-2,,
Classic Squiffer,48,152,0.5,0.63,-0.13,42,-6,,
Rapid Blaster Pro,49,150,0.49,0.48,0.01,47,-2,,
Bamboozler 14 Mk I,50,128,0.42,0.39,0.03,53,3,,
Krak-On Splat Roller,51,128,0.42,0.42,0,50,-1,,
Hydra Splatling,52,125,0.41,0.31,0.1,58,6,,
Jet Squelcher,53,116,0.38,0.41,-0.03,52,-1,,
Tenta Brella,54,116,0.38,0.42,-0.04,51,-3,,
Aerospray MG,55,104,0.34,0.35,-0.01,56,1,,
Inkbrush Nouveau,56,104,0.34,0.37,-0.03,55,-1,,
.96 Gal,57,103,0.34,0.32,0.02,57,0,,
Aerospray RG,58,98,0.32,0.28,0.04,60,2,,
Firefin Splatterscope,59,97,0.32,0.44,-0.12,49,-10,,
Undercover Brella,60,81,0.27,0.26,0.01,62,2,,
E-liter 4K,61,76,0.25,0.26,-0.01,61,0,,
L-3 Nozzlenose,62,70,0.23,0.26,-0.03,63,1,,
L-3 Nozzlenose D,63,69,0.23,0.28,-0.05,59,-4,,
Flingza Roller,64,67,0.22,0.24,-0.02,65,1,,
H-3 Nozzlenose,65,66,0.22,0.24,-0.02,66,1,,
Custom Goo Tuber,66,63,0.21,0.38,-0.17,54,-12,,
Glooga Dualies,67,61,0.2,0.25,-0.05,64,-3,,
Foil Flingza Roller,68,55,0.18,0.17,0.01,69,1,,
Goo Tuber,69,54,0.18,0.21,-0.03,67,-2,,
Custom E-liter 4K Scope,70,52,0.17,0.18,-0.01,68,-2,,
Custom E-liter 4K,71,23,0.08,0.1,-0.02,70,-1,,
