All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2907,10.43,10.94,-0.51,1,0
Splattershot,2,2280,8.18,7.87,0.31,2,0
Blaster,3,1847,6.63,6.8,-0.17,3,0
Splat Roller,4,1827,6.56,6.69,-0.13,4,0
Forge Splattershot Pro,5,1001,3.59,3.9,-0.31,5,0
Splat Charger,6,962,3.45,3.4,0.05,6,0
Enperry Splat Dualies,7,792,2.84,2.67,0.17,7,0
Splattershot Jr.,8,677,2.43,2.22,0.21,11,3
Dapple Dualies Nouveau,9,666,2.39,2.42,-0.03,8,-1
Sploosh-o-matic,10,660,2.37,1.89,0.48,14,4
Tentatek Splattershot,11,624,2.24,2.4,-0.16,10,-1
Tri-Slosher,12,568,2.04,2.42,-0.38,9,-3
Heavy Splatling,13,536,1.92,1.82,0.1,15,2
Sloshing Machine,14,533,1.91,2.01,-0.1,13,-1
Range Blaster,15,532,1.91,1.78,0.13,17,2
Rapid Blaster,16,527,1.89,1.82,0.07,16,0
.96 Gal Deco,17,520,1.87,,,,
.52 Gal Deco,18,484,1.74,2.02,-0.28,12,-6
N-ZAP '89,19,483,1.73,1.55,0.18,18,-1
Dualie Squelchers,20,415,1.49,1.37,0.12,22,2
Splat Brella,21,409,1.47,1.34,0.13,24,3
Splatterscope,22,405,1.45,1.49,-0.04,19,-3
Slosher Deco,23,399,1.43,1.25,0.18,27,4
Dapple Dualies,24,387,1.39,1.3,0.09,26,2
Carbon Roller,25,376,1.35,1.37,-0.02,21,-4
Octobrush,26,343,1.23,1.41,-0.18,20,-6
Splat Dualies,27,340,1.22,1.22,0,28,1
Splattershot Pro,28,331,1.19,1.07,0.12,31,3
Gold Dynamo Roller,29,329,1.18,1.37,-0.19,23,-6
Luna Blaster,30,305,1.09,1.34,-0.25,25,-5
Octobrush Nouveau,31,294,1.06,1.05,0.01,33,2
Heavy Splatling Deco,32,280,1.01,1.18,-0.17,30,-2
Inkbrush,33,274,0.98,1.07,-0.09,32,-1
Clash Blaster,34,256,0.92,0.86,0.06,35,1
Dynamo Roller,35,216,0.78,0.91,-0.13,34,-1
Custom Jet Squelcher,36,209,0.75,0.71,0.04,37,1
Mini Splatling,37,209,0.75,0.62,0.13,43,6
Rapid Blaster Deco,38,200,0.72,1.21,-0.49,29,-9
Firefin Splat Charger,39,185,0.66,0.63,0.03,41,2
.52 Gal,40,179,0.64,0.67,-0.03,39,-1
Slosher,41,176,0.63,0.66,-0.03,40,-1
Classic Squiffer,42,169,0.61,0.62,-0.01,42,0
Custom Blaster,43,156,0.56,0.71,-0.15,38,-5
Splash-o-matic,44,149,0.53,0.56,-0.03,44,0
Custom Splattershot Jr.,45,145,0.52,0.46,0.06,48,3
Squeezer,46,145,0.52,0.47,0.05,47,1
Rapid Blaster Pro,47,139,0.5,0.52,-0.02,46,-1
E-liter 4K Scope,48,137,0.49,0.44,0.05,50,2
Jet Squelcher,49,135,0.48,0.53,-0.05,45,-4
Bamboozler 14 Mk I,50,131,0.47,0.43,0.04,51,1
Krak-On Splat Roller,51,125,0.45,0.45,0,49,-2
Tenta Brella,52,121,0.43,0.32,0.11,58,6
Aerospray MG,53,114,0.41,0.41,0,54,1
Firefin Splatterscope,54,113,0.41,0.43,-0.02,52,-2
Goo Tuber,55,113,0.41,0.42,-0.01,53,-2
Hydra Splatling,56,110,0.39,0.38,0.01,55,-1
.96 Gal,57,107,0.38,0.84,-0.46,36,-21
Inkbrush Nouveau,58,100,0.36,0.35,0.01,57,-1
E-liter 4K,59,80,0.29,0.31,-0.02,62,3
Aerospray RG,60,75,0.27,0.31,-0.04,60,0
H-3 Nozzlenose,61,70,0.25,0.26,-0.01,65,4
Flingza Roller,62,67,0.24,0.36,-0.12,56,-6
Undercover Brella,63,64,0.23,0.31,-0.08,61,-2
L-3 Nozzlenose D,64,63,0.23,0.28,-0.05,63,-1
Foil Flingza Roller,65,58,0.21,0.27,-0.06,64,-1
L-3 Nozzlenose,66,57,0.2,0.32,-0.12,59,-7
Glooga Dualies,67,55,0.2,0.22,-0.02,66,-1
Custom E-liter 4K Scope,68,54,0.19,0.18,0.01,67,-1
Custom E-liter 4K,69,34,0.12,0.15,-0.03,68,-1
Custom Goo Tuber,70,31,0.11,#N/A,#N/A,#N/A,#N/A
