All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,1431,6.63,6.53,0.10,1,0
Tentatek Splattershot,2,1266,5.87,5.58,0.29,2,0
Enperry Splat Dualies,3,1108,5.13,4.78,0.36,4,1
Splat Roller,4,1001,4.64,5.06,-0.42,3,-1
Splattershot,5,803,3.72,4.22,-0.50,5,0
Blaster,6,687,3.18,3.32,-0.14,7,1
Custom Blaster,7,667,3.09,2.87,0.22,8,1
Dapple Dualies Nouveau,8,647,3.00,3.43,-0.43,6,-2
Forge Splattershot Pro,9,613,2.84,2.61,0.23,10,1
Splat Charger,10,575,2.66,2.73,-0.06,9,-1
Heavy Splatling,11,474,2.20,2.47,-0.27,11,0
Dualie Squelchers,12,417,1.93,1.85,0.08,14,2
Gold Dynamo Roller,13,415,1.92,1.85,0.07,15,2
Splattershot Jr.,14,406,1.88,2.05,-0.17,12,-2
Neo Splash-o-matic,15,380,1.76,1.97,-0.21,13,-2
Custom Jet Squelcher,16,369,1.71,1.59,0.12,19,3
Rapid Blaster Deco,17,343,1.59,1.45,0.14,22,5
Dapple Dualies,18,341,1.58,1.52,0.06,20,2
Slosher Deco,19,331,1.53,1.64,-0.11,18,-1
Splatterscope,20,331,1.53,1.50,0.04,21,1
Clash Blaster Neo,21,326,1.51,1.65,-0.14,17,-4
Carbon Roller,22,319,1.48,1.38,0.09,23,1
Heavy Splatling Deco,23,311,1.44,1.31,0.13,25,2
N-ZAP '89,24,300,1.39,1.19,0.20,28,4
Dark Tetra Dualies,25,290,1.34,0.86,0.48,40,15
Octobrush,26,290,1.34,1.28,0.07,27,1
Range Blaster,27,286,1.33,1.67,-0.34,16,-11
Splat Brella,28,273,1.27,1.00,0.27,36,8
Rapid Blaster Pro,29,264,1.22,1.04,0.19,31,2
Dynamo Roller,30,260,1.20,1.32,-0.12,24,-6
Splat Dualies,31,245,1.14,1.12,0.01,30,-1
Splattershot Pro,32,245,1.14,1.00,0.13,35,3
Tri-Slosher,33,237,1.10,1.17,-0.07,29,-4
Sploosh-o-matic,34,235,1.09,1.31,-0.22,26,-8
Clash Blaster,35,212,0.98,1.03,-0.04,32,-3
Rapid Blaster,36,209,0.97,1.01,-0.05,33,-3
Inkbrush,37,207,0.96,0.99,-0.03,37,0
Tenta Brella,38,198,0.92,0.91,0.01,38,0
Luna Blaster,39,175,0.81,1.01,-0.20,34,-5
Sloshing Machine Neo,40,175,0.81,0.67,0.14,45,5
Octobrush Nouveau,41,175,0.81,0.77,0.04,44,3
Tri-Slosher Nouveau,42,173,0.80,0.89,-0.09,39,-3
Sloshing Machine,43,171,0.79,0.78,0.01,43,0
H-3 Nozzlenose D,44,166,0.77,0.84,-0.07,41,-3
Hydra Splatling,45,160,0.74,0.63,0.11,46,1
.52 Gal Deco,46,155,0.72,0.81,-0.09,42,-4
E-liter 4K Scope,47,147,0.68,0.48,0.21,56,9
.52 Gal,48,145,0.67,0.62,0.05,47,-1
Firefin Splat Charger,49,130,0.60,0.49,0.12,54,5
Foil Squeezer,50,124,0.57,0.51,0.07,50,0
Krak-On Splat Roller,51,117,0.54,0.50,0.05,52,1
Slosher,52,116,0.54,0.55,-0.01,49,-3
Inkbrush Nouveau,53,114,0.53,0.48,0.05,55,2
Glooga Dualies Deco,54,109,0.51,0.49,0.02,53,-1
Zink Mini Splatling,55,106,0.49,0.50,-0.01,51,-4
.96 Gal Deco,56,97,0.45,0.45,0.00,59,3
Mini Splatling,57,95,0.44,0.39,0.05,63,6
Jet Squelcher,58,94,0.44,0.44,-0.01,60,2
Custom Splattershot Jr.,59,92,0.43,0.48,-0.05,57,-2
Bamboozler 14 Mk I,60,91,0.42,0.42,0.00,61,1
Custom Range Blaster,61,89,0.41,0.61,-0.20,48,-13
Aerospray MG,62,86,0.40,0.28,0.12,73,11
Firefin Splatterscope,63,81,0.38,0.41,-0.03,62,-1
E-liter 4K,64,80,0.37,0.45,-0.08,58,-6
Splash-o-matic,65,77,0.36,0.33,0.03,70,5
Flingza Roller,66,75,0.35,0.34,0.01,69,3
Classic Squiffer,67,75,0.35,0.35,-0.01,68,1
Foil Flingza Roller,68,73,0.34,0.36,-0.02,65,-3
L-3 Nozzlenose D,69,67,0.31,0.31,0.00,71,2
Glooga Dualies,70,66,0.31,0.29,0.01,72,2
.96 Gal,71,64,0.30,0.36,-0.06,67,-4
Sorella Brella,72,63,0.29,0.37,-0.08,64,-8
Aerospray RG,73,59,0.27,0.23,0.05,75,2
Neo Sploosh-o-matic,74,57,0.26,0.15,0.11,78,4
New Squiffer,75,56,0.26,0.36,-0.10,66,-9
Custom Goo Tuber,76,44,0.20,0.22,-0.02,76,0
Squeezer,77,44,0.20,0.17,0.04,77,0
Undercover Brella,78,40,0.19,0.23,-0.04,74,-4
L-3 Nozzlenose,79,37,0.17,0.13,0.04,79,0
Custom E-liter 4K Scope,80,30,0.14,0.11,0.03,83,3
Goo Tuber,81,22,0.10,0.13,-0.02,82,1
H-3 Nozzlenose,82,21,0.10,0.13,-0.03,81,-1
Custom E-liter 4K,83,21,0.10,0.13,-0.04,80,-3
Luna Blaster Neo,84,14,0.06,0.09,-0.02,84,0
