All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,3095,12.03,15.17,-3.14,1,0,,* 1) N-ZAP '85 (12.03) -3.14,N-ZAP '85,761,11.16,1,0,,N-ZAP '85,502,11.93,1,0,,N-ZAP '85,1040,13.18,1,0,,N-ZAP '85,792,11.65,1,0,,Splashdown,6662,25.9,,Suction Bomb,5297,20.59,,N-ZAP '85,1807,13.26,1,0
Splattershot,2,1976,7.68,7.15,0.53,3,1,,* 2) Splattershot (7.68) 0.529999999999999,Splat Roller,607,8.9,3,1,,Splat Roller,358,8.51,3,1,,Splattershot,559,7.08,2,0,,Splattershot,562,8.26,2,0,,Ink Armor,5024,19.53,,Burst Bomb,3572,13.89,,Blaster,1063,7.8,4,2
Splat Roller,3,1926,7.49,7.89,-0.4,2,-1,,* 3) Splat Roller (7.49) -0.399999999999999,Splattershot,521,7.64,2,-1,,Splattershot,334,7.94,2,-1,,Splat Roller,485,6.15,3,0,,Blaster,516,7.59,4,1,,Sting Ray,2891,11.24,,Splat Bomb,3399,13.22,,Splattershot,1045,7.67,2,-1
Blaster,4,1592,6.19,5.82,0.37,5,1,,* 4) Blaster (6.19) 0.37,Forge Splattershot Pro,450,6.6,5,1,,Blaster,245,5.82,4,0,,Blaster,414,5.25,4,0,,Splat Roller,476,7,3,-1,,Ink Storm,2290,8.9,,Curling Bomb,3369,13.1,,Splat Roller,908,6.66,3,-1
Forge Splattershot Pro,5,1283,4.99,6.85,-1.86,4,-1,,* 5) Forge Splattershot Pro (4.99) -1.86,Blaster,417,6.11,4,-1,,Forge Splattershot Pro,158,3.75,5,0,,Forge Splattershot Pro,406,5.14,5,0,,Forge Splattershot Pro,269,3.96,5,0,,Tenta Missiles,2266,8.81,,Toxic Mist,2526,9.82,,Forge Splattershot Pro,719,5.28,5,0
Enperry Splat Dualies,6,709,2.76,1.44,1.32,16,10,,* 6) Enperry Splat Dualies (2.76) 1.32,Enperry Splat Dualies,187,2.74,6,0,,Splat Charger,155,3.68,8,2,,Rapid Blaster,282,3.57,9,3,,Splat Charger,248,3.65,8,2,,Inkjet,2093,8.14,,Autobomb,2064,8.02,,Rapid Blaster,489,3.59,9,3
Tri-Slosher,7,704,2.74,3.42,-0.68,6,-1,,* 7) Tri-Slosher (2.74) -0.68,Sploosh-o-matic,165,2.42,11,4,,Sploosh-o-matic,153,3.64,11,4,,Tri-Slosher,240,3.04,7,0,,Sloshing Machine,208,3.06,12,5,,Bubble Blower,1726,6.71,,Ink Mine,1377,5.35,,Enperry Splat Dualies,459,3.37,6,-1
Splat Charger,8,703,2.73,2.83,-0.1,8,0,,* 8) Splat Charger (2.73) -0.1,Inkbrush,164,2.4,29,21,,Enperry Splat Dualies,122,2.9,6,-2,,Enperry Splat Dualies,226,2.86,6,-2,,Tri-Slosher,201,2.96,7,-1,,Baller,1313,5.1,,Sprinkler,1227,4.77,,Tri-Slosher,404,2.96,7,-1
Rapid Blaster,9,687,2.67,2.65,0.02,9,0,,* 9) Rapid Blaster (2.67) 0.02,Tri-Slosher,163,2.39,7,-2,,Tentatek Splattershot,115,2.73,10,1,,Splattershot Jr.,170,2.15,13,4,,Rapid Blaster,181,2.66,9,0,,Splat-Bomb Launcher,739,2.87,,Point Sensor,1194,4.64,,Splat Charger,398,2.92,8,-1
Tentatek Splattershot,10,578,2.25,3.08,-0.83,7,-3,,* 10) Tentatek Splattershot (2.25) -0.83,N-ZAP '89,143,2.1,14,4,,N-ZAP '89,107,2.54,14,4,,Splat Charger,166,2.1,8,-2,,Enperry Splat Dualies,174,2.56,6,-4,,Suction-Bomb Launcher,595,2.31,,Splash Wall,867,3.37,,Sloshing Machine,345,2.53,12,2
Sploosh-o-matic,11,564,2.19,2.53,-0.34,10,-1,,,Rapid Blaster,143,2.1,9,-2,,Sloshing Machine,100,2.38,12,1,,Tentatek Splattershot,163,2.07,10,-1,,Tentatek Splattershot,157,2.31,10,-1,,Curling-Bomb Launcher,121,0.47,,Squid Beakon,828,3.22,,Tentatek Splattershot,313,2.3,10,-1
Sloshing Machine,12,559,2.17,2.41,-0.24,11,-1,,,Tentatek Splattershot,143,2.1,10,-2,,Tri-Slosher,100,2.38,7,-5,,Firefin Splat Charger,156,1.98,34,22,,Splatterscope,153,2.25,17,5,,,,,,,,,,Splattershot Jr.,272,2,13,1
Splattershot Jr.,13,515,2,1.79,0.21,14,1,,,Splattershot Jr.,139,2.04,13,0,,Splattershot Jr.,86,2.04,13,0,,Sloshing Machine,146,1.85,12,-1,,Luna Blaster,141,2.07,18,5,,,,,,,,,,Range Blaster,242,1.78,16,3
N-ZAP '89,14,502,1.95,1.8,0.15,13,-1,,,Splat Charger,134,1.96,8,-6,,Rapid Blaster,81,1.92,9,-5,,N-ZAP '89,141,1.79,14,0,,Range Blaster,129,1.9,16,2,,,,,,,,,,Heavy Splatling,228,1.67,19,5
Dapple Dualies Nouveau,15,459,1.78,,,,,,,Dapple Dualies Nouveau,125,1.83,15,0,,Heavy Splatling,81,1.92,19,4,,Dapple Dualies Nouveau,135,1.71,15,0,,Splattershot Jr.,120,1.76,13,-2,,,,,,,,,,Dapple Dualies Nouveau,211,1.55,15,0
Range Blaster,16,416,1.62,1.91,-0.29,12,-4,,,Range Blaster,111,1.63,16,0,,Dapple Dualies Nouveau,80,1.9,15,-1,,Sploosh-o-matic,132,1.67,11,-5,,Dapple Dualies Nouveau,119,1.75,15,-1,,,,,,,,,,Splatterscope,209,1.53,17,1
Splatterscope,17,407,1.58,1.43,0.15,18,1,,,Sloshing Machine,105,1.54,12,-5,,Dualie Squelchers,69,1.64,20,3,,Splat Brella,128,1.62,23,6,,Heavy Splatling,116,1.71,19,2,,,,,,,,,,Splat Brella,202,1.48,23,6
Luna Blaster,18,356,1.38,1.49,-0.11,15,-3,,,Octobrush Nouveau,104,1.52,28,10,,Splatterscope,67,1.59,17,-1,,Heavy Splatling Deco,123,1.56,31,13,,Sploosh-o-matic,114,1.68,11,-7,,,,,,,,,,Slosher Deco,199,1.46,30,12
Heavy Splatling,19,346,1.35,1.08,0.27,23,4,,,Heavy Splatling Deco,102,1.5,31,12,,Splat Dualies,64,1.52,25,6,,Splatterscope,120,1.52,17,-2,,N-ZAP '89,111,1.63,14,-5,,,,,,,,,,Sploosh-o-matic,196,1.44,11,-8
Dualie Squelchers,20,345,1.34,0.84,0.5,31,11,,,Octobrush,102,1.5,22,2,,.52 Gal,62,1.47,26,6,,Range Blaster,117,1.48,16,-4,,Gold Dynamo Roller,105,1.54,21,1,,,,,,,,,,Gold Dynamo Roller,184,1.35,21,1
Gold Dynamo Roller,21,336,1.31,0.9,0.41,28,7,,,Dualie Squelchers,96,1.41,20,-1,,Range Blaster,59,1.4,16,-5,,Splattershot Pro,114,1.44,24,3,,Dynamo Roller,87,1.28,32,11,,,,,,,,,,Luna Blaster,184,1.35,18,-3
Octobrush,22,331,1.29,1.44,-0.15,17,-5,,,.52 Gal,92,1.35,26,4,,Luna Blaster,58,1.38,18,-4,,Gold Dynamo Roller,111,1.41,21,-1,,Clash Blaster,86,1.26,36,14,,,,,,,,,,Heavy Splatling Deco,178,1.31,31,9
Splat Brella,23,317,1.23,1.18,0.05,22,-1,,,Splat Dualies,91,1.33,25,2,,Splattershot Pro,57,1.35,24,1,,Dualie Squelchers,104,1.32,20,-3,,Splat Brella,84,1.24,23,0,,,,,,,,,,Dynamo Roller,159,1.17,32,9
Splattershot Pro,24,315,1.22,1.02,0.2,25,1,,,Carbon Roller,86,1.26,27,3,,Octobrush,55,1.31,22,-2,,Slosher Deco,103,1.31,30,6,,Carbon Roller,83,1.22,27,3,,,,,,,,,,Dualie Squelchers,157,1.15,20,-4
Splat Dualies,25,311,1.21,0.7,0.51,37,12,,,Gold Dynamo Roller,82,1.2,21,-4,,Custom Jet Squelcher,51,1.21,33,8,,Octobrush,96,1.22,22,-3,,Splattershot Pro,81,1.19,24,-1,,,,,,,,,,Mini Splatling,146,1.07,35,10
.52 Gal,26,297,1.15,1.24,-0.09,19,-7,,,Luna Blaster,71,1.04,18,-8,,Splat Brella,47,1.12,23,-3,,Splat Dualies,95,1.2,25,-1,,Slosher Deco,79,1.16,30,4,,,,,,,,,,Firefin Splat Charger,143,1.05,34,8
