All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,3260,10.94,11.05,-0.11,1,0
Splattershot,2,2346,7.87,6.51,1.36,3,1
Blaster,3,2027,6.8,6.36,0.44,4,1
Splat Roller,4,1995,6.69,7.19,-0.5,2,-2
Forge Splattershot Pro,5,1162,3.9,3.96,-0.06,5,0
Splat Charger,6,1014,3.4,3.26,0.14,7,1
Enperry Splat Dualies,7,797,2.67,3.05,-0.38,8,1
Dapple Dualies Nouveau,8,721,2.42,2.3,0.12,12,4
Tri-Slosher,9,720,2.42,2.43,-0.01,10,1
Tentatek Splattershot,10,716,2.4,2.39,0.01,11,1
Splattershot Jr.,11,662,2.22,2.22,0,14,3
.52 Gal Deco,12,602,2.02,3.29,-1.27,6,-6
Sloshing Machine,13,598,2.01,1.89,0.12,15,2
Sploosh-o-matic,14,563,1.89,2.24,-0.35,13,-1
Heavy Splatling,15,543,1.82,1.69,0.13,17,2
Rapid Blaster,16,541,1.82,2.44,-0.62,9,-7
Range Blaster,17,531,1.78,1.57,0.21,19,2
N-ZAP '89,18,461,1.55,1.72,-0.17,16,-2
Splatterscope,19,445,1.49,1.61,-0.12,18,-1
Octobrush,20,419,1.41,1.35,0.06,22,2
Carbon Roller,21,408,1.37,1.17,0.2,28,7
Dualie Squelchers,22,408,1.37,1.51,-0.14,21,-1
Gold Dynamo Roller,23,407,1.37,1.33,0.04,23,0
Splat Brella,24,399,1.34,1.22,0.12,27,3
Luna Blaster,25,399,1.34,1.27,0.07,26,1
Dapple Dualies,26,387,1.3,1.29,0.01,25,-1
Slosher Deco,27,373,1.25,1.54,-0.29,20,-7
Splat Dualies,28,363,1.22,1.31,-0.09,24,-4
Rapid Blaster Deco,29,360,1.21,,,,
Heavy Splatling Deco,30,353,1.18,0.93,0.25,33,3
Splattershot Pro,31,319,1.07,1.13,-0.06,30,-1
Inkbrush,32,318,1.07,1.16,-0.09,29,-3
Octobrush Nouveau,33,314,1.05,1.09,-0.04,31,-2
Dynamo Roller,34,270,0.91,1.02,-0.11,32,-2
Clash Blaster,35,256,0.86,0.83,0.03,34,-1
.96 Gal,36,249,0.84,0.69,0.15,40,4
Custom Jet Squelcher,37,211,0.71,0.78,-0.07,37,0
Custom Blaster,38,211,0.71,0.71,0,38,0
.52 Gal,39,199,0.67,0.7,-0.03,39,0
Slosher,40,196,0.66,0.83,-0.17,35,-5
Firefin Splat Charger,41,189,0.63,0.81,-0.18,36,-5
Classic Squiffer,42,186,0.62,0.58,0.04,44,2
Mini Splatling,43,184,0.62,0.66,-0.04,42,-1
Splash-o-matic,44,166,0.56,0.68,-0.12,41,-3
Jet Squelcher,45,158,0.53,0.57,-0.04,46,1
Rapid Blaster Pro,46,156,0.52,0.57,-0.05,45,-1
Squeezer,47,139,0.47,0.48,-0.01,48,1
Custom Splattershot Jr.,48,137,0.46,0.48,-0.02,47,-1
Krak-On Splat Roller,49,135,0.45,0.46,-0.01,50,1
E-liter 4K Scope,50,131,0.44,0.47,-0.03,49,-1
Bamboozler 14 Mk I,51,129,0.43,0.4,0.03,52,1
Firefin Splatterscope,52,128,0.43,0.4,0.03,51,-1
Goo Tuber,53,125,0.42,0.62,-0.2,43,-10
Aerospray MG,54,123,0.41,0.36,0.05,53,-1
Hydra Splatling,55,112,0.38,0.29,0.09,56,1
Flingza Roller,56,108,0.36,0.26,0.1,58,2
Inkbrush Nouveau,57,103,0.35,0.32,0.03,55,-2
Tenta Brella,58,96,0.32,0.26,0.06,59,1
L-3 Nozzlenose,59,95,0.32,0.2,0.12,65,6
Aerospray RG,60,92,0.31,0.21,0.1,64,4
Undercover Brella,61,91,0.31,0.26,0.05,61,0
E-liter 4K,62,91,0.31,0.27,0.04,57,-5
L-3 Nozzlenose D,63,83,0.28,0.33,-0.05,54,-9
Foil Flingza Roller,64,81,0.27,0.26,0.01,60,-4
H-3 Nozzlenose,65,78,0.26,0.23,0.03,62,-3
Glooga Dualies,66,67,0.22,0.22,0,63,-3
Custom E-liter 4K Scope,67,53,0.18,0.15,0.03,66,-1
Custom E-liter 4K,68,45,0.15,0.14,0.01,67,-1
