All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,3243,13.69,12.17,1.52,1,0,,* 1) N-ZAP '85 (13.69) 1.52,N-ZAP '85,521,14.82,1,0,,N-ZAP '85,896,12.74,1,0,,N-ZAP '85,1143,14.79,1,0,,N-ZAP '85,683,12.62,1,0,,Splashdown,5216,22.02,,Suction Bomb,5420,22.88,,N-ZAP '85,2010,14.86,1,0
Splattershot,2,2019,8.52,9.4,-0.88,2,0,,* 2) Splattershot (8.52) -0.880000000000001,Forge Splattershot Pro,291,8.28,6,4,,Splattershot,665,9.46,2,0,,Splattershot,652,8.44,2,0,,Splattershot,448,8.28,2,0,,Ink Armor,4826,20.37,,Splat Bomb,3655,15.43,,Splattershot,1141,8.44,2,0
Splat Roller,3,1814,7.66,7.59,0.07,3,0,,* 3) Splat Roller (7.66) 0.0700000000000003,Splat Roller,271,7.71,3,0,,Splat Roller,594,8.45,3,0,,Splat Roller,532,6.88,3,0,,Splat Roller,417,7.71,3,0,,Ink Storm,2974,12.55,,Burst Bomb,3216,13.58,,Splat Roller,969,7.17,3,0
Tentatek Splattershot,4,1055,4.45,5.1,-0.65,6,2,,* 4) Tentatek Splattershot (4.45) -0.65,Splattershot,254,7.22,2,-2,,Tentatek Splattershot,361,5.13,4,0,,Range Blaster,355,4.59,5,1,,Range Blaster,241,4.45,5,1,,Sting Ray,2927,12.36,,Curling Bomb,3100,13.09,,Tentatek Splattershot,693,5.12,4,0
Range Blaster,5,939,3.96,5.41,-1.45,4,-1,,* 5) Range Blaster (3.96) -1.45,Tentatek Splattershot,155,4.41,4,-1,,Sploosh-o-matic,273,3.88,11,6,,Tentatek Splattershot,334,4.32,4,-1,,Splat Charger,212,3.92,9,4,,Inkjet,2302,9.72,,Autobomb,2644,11.16,,Range Blaster,645,4.77,5,0
Forge Splattershot Pro,6,854,3.61,2.36,1.25,12,6,,* 6) Forge Splattershot Pro (3.61) 1.25,Tri-Slosher,117,3.33,12,6,,Splat Charger,272,3.87,9,3,,Splat Brella,322,4.17,10,4,,Sloshing Machine,211,3.9,7,1,,Tenta Missiles,1949,8.23,,Sprinkler,1499,6.33,,Sloshing Machine,570,4.21,7,1
Sloshing Machine,7,790,3.34,4.19,-0.85,7,0,,* 7) Sloshing Machine (3.34) -0.850000000000001,Sploosh-o-matic,106,3.01,11,4,,Range Blaster,259,3.68,5,-2,,N-ZAP '89,269,3.48,8,1,,Tentatek Splattershot,205,3.79,4,-3,,Baller,1238,5.23,,Point Sensor,1200,5.07,,Forge Splattershot Pro,540,3.99,6,-1
N-ZAP '89,8,764,3.23,,,,,,* 8) N-ZAP '89 (3.23) ,Sloshing Machine,94,2.67,7,-1,,Sloshing Machine,252,3.58,7,-1,,Forge Splattershot Pro,248,3.21,6,-2,,N-ZAP '89,186,3.44,8,0,,Bubble Blower,1217,5.14,,Ink Mine,1065,4.5,,Splat Brella,490,3.62,10,2
Splat Charger,9,756,3.19,3.56,-0.37,8,-1,,* 9) Splat Charger (3.19) -0.37,Inkbrush,86,2.45,31,22,,N-ZAP '89,237,3.37,8,-1,,Sloshing Machine,233,3.02,7,-2,,Splat Brella,171,3.16,10,1,,Suction-Bomb Launcher,473,2,,Toxic Mist,893,3.77,,Splat Charger,470,3.48,9,0
Splat Brella,10,738,3.12,5.29,-2.17,5,-5,,* 10) Splat Brella (3.12) -2.17,Range Blaster,84,2.39,5,-5,,Forge Splattershot Pro,179,2.55,6,-4,,Splat Charger,225,2.91,9,-1,,Luna Blaster,144,2.66,14,4,,Splat-Bomb Launcher,470,1.98,,Squid Beakon,553,2.33,,Tri-Slosher,334,2.47,12,2
