All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,1619,6.42,5.96,0.46,1,0
Tentatek Splattershot,2,1377,5.46,5.34,0.12,2,0
Splat Roller,3,1259,4.99,4.67,0.32,4,1
Enperry Splat Dualies,4,1189,4.72,4.86,-0.15,3,-1
Splattershot,5,1119,4.44,4.29,0.15,5,0
Blaster,6,907,3.60,3.90,-0.30,6,0
Dapple Dualies Nouveau,7,853,3.38,3.28,0.10,7,0
Splat Charger,8,698,2.77,2.66,0.10,9,1
Forge Splattershot Pro,9,667,2.65,2.45,0.20,10,1
Custom Blaster,10,661,2.62,2.23,0.39,12,2
Heavy Splatling,11,624,2.48,2.41,0.06,11,0
Neo Splash-o-matic,12,530,2.10,2.83,-0.73,8,-4
Splattershot Jr.,13,525,2.08,1.78,0.30,15,2
Gold Dynamo Roller,14,467,1.85,2.16,-0.30,13,-1
Dualie Squelchers,15,453,1.80,1.60,0.19,18,3
Splatterscope,16,405,1.61,1.37,0.23,24,8
Range Blaster,17,391,1.55,1.83,-0.28,14,-3
Dapple Dualies,18,380,1.51,1.43,0.08,22,4
Clash Blaster Neo,19,372,1.48,1.54,-0.07,19,0
Slosher Deco,20,366,1.45,1.76,-0.31,16,-4
Dynamo Roller,21,353,1.40,1.69,-0.29,17,-4
Carbon Roller,22,350,1.39,1.50,-0.11,20,-2
Custom Jet Squelcher,23,336,1.33,1.36,-0.03,25,2
N-ZAP '89,24,334,1.32,0.86,0.46,39,15
Heavy Splatling Deco,25,334,1.32,1.39,-0.07,23,-2
Rapid Blaster Deco,26,325,1.29,1.21,0.08,26,0
Sploosh-o-matic,27,317,1.26,1.12,0.14,30,3
Octobrush,28,306,1.21,1.12,0.09,29,1
Tri-Slosher,29,304,1.21,1.14,0.06,28,-1
Clash Blaster,30,296,1.17,0.97,0.21,31,1
Rapid Blaster,31,290,1.15,1.48,-0.33,21,-10
Splattershot Pro,32,273,1.08,0.90,0.18,35,3
Splat Brella,33,256,1.02,1.16,-0.15,27,-6
Inkbrush,34,249,0.99,0.90,0.09,36,2
Splat Dualies,35,244,0.97,0.92,0.05,34,-1
Luna Blaster,36,237,0.94,0.87,0.07,38,2
Sloshing Machine,37,226,0.90,0.85,0.05,41,4
Dark Tetra Dualies,38,220,0.87,0.64,0.23,51,13
Tenta Brella,39,217,0.86,0.95,-0.09,33,-6
.52 Gal Deco,40,214,0.85,0.85,0.00,40,0
Rapid Blaster Pro,41,212,0.84,0.70,0.14,46,5
Tri-Slosher Nouveau,42,207,0.82,0.90,-0.08,37,-5
H-3 Nozzlenose D,43,199,0.79,0.73,0.06,45,2
Octobrush Nouveau,44,188,0.75,0.67,0.07,49,5
Hydra Splatling,45,186,0.74,0.70,0.03,47,2
Sloshing Machine Neo,46,185,0.73,0.82,-0.08,44,-2
Custom Range Blaster,47,177,0.70,0.83,-0.13,43,-4
E-liter 4K Scope,48,158,0.63,0.50,0.13,58,10
.52 Gal,49,154,0.61,0.61,0.00,52,3
Firefin Splat Charger,50,150,0.59,0.58,0.02,55,5
Slosher,51,145,0.58,0.59,-0.01,53,2
Zink Mini Splatling,52,144,0.57,0.68,-0.11,48,-4
.96 Gal Deco,53,140,0.56,0.84,-0.28,42,-11
Jet Squelcher,54,130,0.52,0.40,0.11,64,10
Glooga Dualies Deco,55,127,0.50,0.96,-0.45,32,-23
Foil Squeezer,56,120,0.48,0.64,-0.17,50,-6
E-liter 4K,57,120,0.48,0.38,0.10,66,9
Krak-On Splat Roller,58,118,0.47,0.58,-0.11,54,-4
Bamboozler 14 Mk I,59,117,0.46,0.52,-0.05,57,-2
Inkbrush Nouveau,60,111,0.44,0.39,0.05,65,5
Firefin Splatterscope,61,111,0.44,0.49,-0.05,59,-2
Flingza Roller,62,110,0.44,0.53,-0.09,56,-6
Mini Splatling,63,108,0.43,0.46,-0.03,61,-2
Custom Splattershot Jr.,64,107,0.42,0.37,0.05,68,4
Classic Squiffer,65,104,0.41,0.31,0.10,71,6
Sorella Brella,66,104,0.41,0.40,0.01,63,-3
Foil Flingza Roller,67,99,0.39,0.47,-0.07,60,-7
Splash-o-matic,68,77,0.31,0.37,-0.07,67,-1
New Squiffer,69,75,0.30,0.42,-0.12,62,-7
.96 Gal,70,68,0.27,0.33,-0.06,70,0
Aerospray RG,71,67,0.27,0.23,0.03,74,3
Aerospray MG,72,66,0.26,0.22,0.04,75,3
Glooga Dualies,73,65,0.26,0.33,-0.07,69,-4
Neo Sploosh-o-matic,74,65,0.26,0.17,0.09,77,3
L-3 Nozzlenose D,75,58,0.23,0.25,-0.02,73,-2
Squeezer,76,51,0.20,0.29,-0.09,72,-4
Undercover Brella,77,48,0.19,0.22,-0.03,76,-1
Custom E-liter 4K Scope,78,43,0.17,0.14,0.03,79,1
Custom Goo Tuber,79,35,0.14,0.16,-0.02,78,-1
L-3 Nozzlenose,80,30,0.12,0.13,-0.01,80,0
Custom E-liter 4K,81,29,0.12,0.13,-0.02,81,0
Goo Tuber,82,23,0.09,0.10,0.00,82,0
H-3 Nozzlenose,83,22,0.09,0.09,0.00,84,1
Luna Blaster Neo,84,16,0.06,0.10,-0.03,83,-1
