All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,4382,14.16,13.01,1.15,1,0,,* 1) N-ZAP '85 (14.16) 1.15,N-ZAP '85,1193,13.43,1,0,,N-ZAP '85,927,13.41,1,0,,N-ZAP '85,1177,16.19,1,0,,N-ZAP '85,1085,13.74,1,0,,Splashdown,8238,26.61,,Suction Bomb,7310,23.61,,N-ZAP '85,2927,16.23,1,0
Splat Roller,2,2479,8.01,8.27,-0.26,3,1,,* 2) Splat Roller (8.01) -0.26,Splat Roller,768,8.65,2,0,,Splattershot,590,8.54,3,1,,Splattershot,566,7.79,3,1,,Splattershot,659,8.35,3,1,,Ink Armor,6591,21.29,,Splat Bomb,4509,14.57,,Splattershot,1414,7.84,3,1
Splattershot,3,2456,7.93,8.58,-0.65,2,-1,,* 3) Splattershot (7.93) -0.65,Forge Splattershot Pro,727,8.19,4,1,,Splat Roller,583,8.43,2,-1,,Splat Roller,484,6.66,2,-1,,Splat Roller,644,8.16,2,-1,,Sting Ray,3650,11.79,,Burst Bomb,4134,13.35,,Splat Roller,1335,7.4,2,-1
Forge Splattershot Pro,4,1766,5.7,5.25,0.45,4,0,,* 4) Forge Splattershot Pro (5.7) 0.45,Splattershot,641,7.22,3,-1,,Blaster,314,4.54,5,1,,Forge Splattershot Pro,446,6.14,4,0,,Blaster,564,7.14,5,1,,Ink Storm,2551,8.24,,Curling Bomb,3990,12.89,,Blaster,1202,6.66,5,1
Blaster,5,1661,5.37,4.72,0.65,5,0,,* 5) Blaster (5.37) 0.65,Blaster,418,4.71,5,0,,Tentatek Splattershot,301,4.35,6,1,,Blaster,365,5.02,5,0,,Splat Charger,331,4.19,8,3,,Inkjet,2495,8.06,,Autobomb,2684,8.67,,Forge Splattershot Pro,1130,6.26,4,-1
Tentatek Splattershot,6,1127,3.64,4.13,-0.49,6,0,,* 6) Tentatek Splattershot (3.64) -0.49,Tentatek Splattershot,310,3.49,6,0,,Forge Splattershot Pro,289,4.18,4,-2,,Tri-Slosher,271,3.73,7,1,,Tentatek Splattershot,304,3.85,6,0,,Bubble Blower,2240,7.24,,Toxic Mist,2180,7.04,,Tentatek Splattershot,716,3.97,6,0
Tri-Slosher,7,962,3.11,3.07,0.04,8,1,,* 7) Tri-Slosher (3.11) 0.04,Sploosh-o-matic,284,3.2,10,3,,Splat Charger,232,3.36,8,1,,Rapid Blaster,249,3.43,12,5,,Forge Splattershot Pro,304,3.85,4,-3,,Tenta Missiles,2233,7.21,,Ink Mine,1586,5.12,,Tri-Slosher,645,3.58,7,0
Splat Charger,8,944,3.05,3.15,-0.1,7,-1,,* 8) Splat Charger (3.05) -0.1,Tri-Slosher,266,3,7,-1,,Sploosh-o-matic,229,3.31,10,2,,Tentatek Splattershot,212,2.92,6,-2,,Sloshing Machine,267,3.38,9,1,,Baller,1514,4.89,,Sprinkler,1404,4.54,,Sloshing Machine,588,3.26,9,1
Sloshing Machine,9,842,2.72,2.93,-0.21,10,1,,* 9) Sloshing Machine (2.72) -0.21,Inkbrush,220,2.48,22,13,,Sloshing Machine,220,3.18,9,0,,Splat Charger,197,2.71,8,-1,,Tri-Slosher,251,3.18,7,-2,,Splat-Bomb Launcher,689,2.23,,Point Sensor,1263,4.08,,Splat Charger,560,3.1,8,-1
Sploosh-o-matic,10,761,2.46,2.32,0.14,12,2,,* 10) Sploosh-o-matic (2.46) 0.14,N-ZAP '89,200,2.25,15,5,,Tri-Slosher,174,2.52,7,-3,,Range Blaster,182,2.5,11,1,,Range Blaster,228,2.89,11,1,,Suction-Bomb Launcher,621,2.01,,Splash Wall,954,3.08,,Rapid Blaster,485,2.69,12,2
